geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
404,Elmhurst and Corona (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,4.671087,2005,,
101,Financial District (CD1),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,91.632553,2005,,
101,Financial District (CD1),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,5.295217,2005,,
101,Financial District (CD1),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,98.392572,2005,,
314,Flatbush and Midwood (CD14),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,62.970425,2005,,
314,Flatbush and Midwood (CD14),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,66.384178,2005,,
314,Flatbush and Midwood (CD14),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.810021,2005,,
318,Flatlands and Canarsie (CD18),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,39.800746,2005,,
318,Flatlands and Canarsie (CD18),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,37.97028,2005,,
318,Flatlands and Canarsie (CD18),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.492575,2005,,
403,Flushing - Clearview,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,1.9,2005,,
403,Flushing - Clearview,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.7,2005,,
403,Flushing - Clearview,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,38.541919,2005,,
403,Flushing - Clearview,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,36.182486,2005,,
403,Flushing - Clearview,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.044089,2005,,
407,Flushing and Whitestone (CD7),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.991033,2005,,
407,Flushing and Whitestone (CD7),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,38.091658,2005,,
407,Flushing and Whitestone (CD7),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,35.780435,2005,,
103,Fordham - Bronx Pk,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.969284,2005,,
103,Fordham - Bronx Pk,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.2,2005,,
103,Fordham - Bronx Pk,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.7,2005,,
103,Fordham - Bronx Pk,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,54.724371,2005,,
103,Fordham - Bronx Pk,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,57.347838,2005,,
205,Fordham and University Heights (CD5),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,6.865832,2005,,
205,Fordham and University Heights (CD5),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,97.574463,2005,,
205,Fordham and University Heights (CD5),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,105.527281,2005,,
302,Fort Greene and Brooklyn Heights (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,104.128742,2005,,
302,Fort Greene and Brooklyn Heights (CD2),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,7.379392,2005,,
